14585A Exported Waveform
Sampling Period:0.00012288
Date:Tue Jul 18 10:35:07 2023
Time,Active Instrument A Channel 1 Voltage Avg,Active Instrument A Channel 1 Current Avg,Active Instrument A Channel 1 Power Avg,Active Instrument A Channel 2 Current Avg,Active Instrument A Channel 3 Voltage Avg,Active Instrument A Channel 3 Current Avg,Active Instrument A Channel 3 Power Avg
0.00393216,1.65488171577454,0,0,0,0,0,0
0.00405504,1.65488171577454,0,0,0,0,0,0
0.00417792,1.65513682365417,0,0,0,0,0,0
0.0043008,1.65539193153381,0,0,0,0,0,0
0.00442368,1.65500915050507,0,0,0,0,0,0
0.00454656,1.65481781959534,0,0,0,0,0,0
0.00466944,1.65545582771301,0,0,0,0,0,0
0.00479232,1.65481781959534,0,0,0,0,0,0
0.0049152,1.65564715862274,0,0,0,0,0,0
0.00503808,1.65513682365417,0,0,0,0,0,0
0.00516096,1.65500915050507,0,0,0,0,0,0
0.00528384,1.65481781959534,0,0,0,0,0,0
0.00540672,1.65469026565552,0,0,0,0,0,0
0.0055296,1.6553281545639,0,0,0,0,0,0
0.00565248,1.65545582771301,0,0,0,0,0,0
0.00577536,1.6553281545639,0,0,0,0,0,0
0.00589824,1.65526437759399,0,0,0,0,0,0
0.00602112,1.65526437759399,0,0,0,0,0,0
0.006144,1.65507304668427,0,0,0,0,0,0
0.00626688,1.65545582771301,0,0,0,0,0,0
0.00638976,1.65520048141479,0,0,0,0,0,0
0.00651264,1.65507304668427,0,0,0,0,0,0
0.00663552,1.65545582771301,0,0,0,0,0,0
0.0067584,1.65564715862274,0,0,0,0,0,0
0.00688128,1.65577483177185,0,0,0,0,0,0
0.00700416,1.65551948547363,0,0,0,0,0,0
0.00712704,1.6553281545639,0,0,0,0,0,0
0.00724992,1.65513682365417,0,0,0,0,0,0
0.0073728,1.65609359741211,0,0,0,0,0,0
0.00749568,1.65545582771301,0,0,0,0,0,0
0.00761856,1.65558326244354,0,0,0,0,0,0
0.00774144,1.65577483177185,0,0,0,0,0,0
0.00786432,1.65596616268158,0,0,0,0,0,0
0.0079872,1.65558326244354,0,0,0,0,0,0
0.00811008,1.65583848953247,0,0,0,0,0,0
0.00823296,1.65526437759399,0,0,0,0,0,0
0.00835584,1.65526437759399,0,0,0,0,0,0
0.00847872,1.65539193153381,0,0,0,0,0,0
0.0086016,1.6553281545639,0,0,0,0,0,0
0.00872448,1.6553281545639,0,0,0,0,0,0
0.00884736,1.65596616268158,0,0,0,0,0,0
0.00897024,1.65590226650238,0,0,0,0,0,0
0.00909312,1.65564715862274,0,0,0,0,0,0
0.009216,1.65545582771301,0,0,0,0,0,0
0.00933888,1.65577483177185,0,0,0,0,0,0
0.00946176,1.65564715862274,0,0,0,0,0,0
0.00958464,1.65564715862274,0,0,0,0,0,0
0.00970752,1.65602993965149,0,0,0,0,0,0
0.0098304,1.65564715862274,0,0,0,0,0,0
0.00995328,1.65577483177185,0,0,0,0,0,0
0.01007616,1.6553281545639,0,0,0,0,0,0
0.01019904,1.65513682365417,0,0,0,0,0,0
0.01032192,1.65539193153381,0,0,0,0,0,0
0.0104448,1.65520048141479,0,0,0,0,0,0
0.01056768,1.65551948547363,0,0,0,0,0,0
0.01069056,1.65577483177185,0,0,0,0,0,0
0.01081344,1.65609359741211,0,0,0,0,0,0
0.01093632,1.65596616268158,0,0,0,0,0,0
0.0110592,1.65564715862274,0,0,0,0,0,0
0.01118208,1.65571093559265,0,0,0,0,0,0
0.01130496,1.65609359741211,0,0,0,0,0,0
0.01142784,1.65564715862274,0,0,0,0,0,0
0.01155072,1.65539193153381,0,0,0,0,0,0
0.0116736,1.65545582771301,0,0,0,0,0,0
0.01179648,1.65526437759399,0,0,0,0,0,0
0.01191936,1.65539193153381,0,0,0,0,0,0
0.01204224,1.65551948547363,0,0,0,0,0,0
0.01216512,1.65558326244354,0,0,0,0,0,0
0.012288,1.65539193153381,0,0,0,0,0,0
0.01241088,1.65520048141479,0,0,0,0,0,0
0.01253376,1.65551948547363,0,0,0,0,0,0
0.01265664,1.65602993965149,0,0,0,0,0,0
0.01277952,1.6553281545639,0,0,0,0,0,0
0.0129024,1.65545582771301,0,0,0,0,0,0
0.01302528,1.65507304668427,0,0,0,0,0,0
0.01314816,1.65520048141479,0,0,0,0,0,0
0.01327104,1.65526437759399,0,0,0,0,0,0
0.01339392,1.65507304668427,0,0,0,0,0,0
0.0135168,1.65577483177185,0,0,0,0,0,0
0.01363968,1.65545582771301,0,0,0,0,0,0
0.01376256,1.6553281545639,0,0,0,0,0,0
0.01388544,1.65564715862274,0,0,0,0,0,0
0.01400832,1.65551948547363,0,0,0,0,0,0
0.0141312,1.65539193153381,0,0,0,0,0,0
